#separator:tab
#html:true
#columns:Nederlands	Русский	Grammatica	Tags
#tags column:4
#notetype:Language Islands
Ik wist niet hoe ik "gezondheid" moest zeggen na een nies.	Я не знал, как сказать «будь здоров» после чиха.	<b>Gezondheid!</b> = будь здоров	islands::april::dag_13::dagelijks
Ik moest Google gebruiken.	Мне пришлось использовать Google.	<i>moeten</i> в прошедшем = <i>moest</i>	islands::april::dag_13::dagelijks
Ik ga pelmeni maken — vier porties.	Я буду готовить пельмени — четыре порции.	<i>gaan</i> + inf. = будущее время	islands::april::dag_13::eten
Ik sport graag.	Я люблю заниматься спортом.	<i>graag</i> после глагола = люблю	islands::april::dag_14::sport
Je kunt zeggen dat ik gek ben op sport.	Можно сказать, я фанатею от спорта.	<i>gek zijn op</i> = фанатеть	islands::april::dag_14::sport
Meestal ga ik drie keer per week naar de sportschool.	Обычно я хожу в зал три раза в неделю.	inversie: <i>meestal</i> → <i>ga ik</i>	islands::april::dag_14::sport
Mijn sportdagen zijn dinsdag, vrijdag en zondag.	Мои дни занятий — вт, пт и вс.		islands::april::dag_14::sport
Op dinsdag en vrijdag heb ik een zware training.	Во вторник и пятницу у меня тяжёлая тренировка.	<i>op</i> + dag = в (день недели)	islands::april::dag_14::sport
Op zondag heb ik een lichte training.	В воскресенье — лёгкая тренировка.	<i>zwaar</i> ↔ <i>licht</i>	islands::april::dag_14::sport
Elke training doe ik twee rondes van zes oefeningen.	Каждую тренировку я делаю два круга из шести упражнений.	<i>de ronde</i>, <i>de oefening</i>	islands::april::dag_14::sport
In de eerste ronde gebruik ik heel zware gewichten met weinig herhalingen.	В первом круге — большие веса и мало повторений.	<i>het gewicht</i> = вес	islands::april::dag_14::sport
De eerste ronde is bedoeld voor kracht en power.	Первый круг — для силы и мощности.	<i>bedoeld voor</i> = предназначен для	islands::april::dag_14::sport
De tweede ronde is meer voor spieropbouw.	Второй круг — для наращивания мышц.	<i>de spieropbouw</i> = спиеропбоу	islands::april::dag_14::sport
Lagere gewichten en meer herhalingen, van acht tot twaalf.	Веса ниже и больше повторений, от 8 до 12.	<i>lager</i> = ниже (ср. ст. <i>laag</i>)	islands::april::dag_14::sport
Op zondag zijn de gewichten en herhalingen in elke ronde hetzelfde.	В воскресенье веса и повторения одинаковые.	<i>hetzelfde</i> = одинаковый	islands::april::dag_14::sport
