#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5

beste	We nemen de <b>beste</b> versie als basis voor het project.	лучший (превосх. степ.)	Мы берём лучшую версию как основу для проекта.	werk::refinement::A2
label	Alle schakelaars die ik kan bedenken zijn met een <b>label</b>.	надпись, метка (het label)	У всех переключателей, которые приходят на ум, есть надпись.	werk::refinement::A2
wil	Ik <b>wil</b> er een beschrijving bij, zodat het automatisch goed staat.	хочу (1е л. ед.ч., наст. вр.)	Я хочу добавить описание, чтобы всё автоматически выглядело правильно.	werk::refinement::A2
wilt	Stel, je <b>wilt</b> gewoon alleen een schakelaar hebben zonder label.	хочешь (2е л. ед.ч., формально)	Допустим, ты просто хочешь переключатель без надписи.	werk::refinement::A2
willen	We <b>willen</b> echt een goede knop voor het deelplatform toevoegen.	хотим (1е л. мн.ч., наст. вр.)	Мы реально хотим добавить хорошую кнопку для платформы.	werk::refinement::A2
zou	Dat <b>zou</b> een ander onderdeel moeten zijn, denk ik.	бы (условн. наклон., все лица)	Это, думаю, должно быть другим компонентом.	werk::refinement::A2
zullen	<b>Zullen</b> we proberen het gesprek in het Nederlands te houden?	давайте (предлож., 1е л. мн.ч.)	Давайте попробуем вести разговор на нидерландском?	werk::refinement::A2
denk	Ik <b>denk</b> toch dat je hem opnieuw bouwt met de juiste kleuren.	думаю (1е л. ед.ч., наст. вр.)	Я всё-таки думаю, что ты его заново построишь с правильными цветами.	werk::refinement::A2
denken	We moeten nog even <b>denken</b> over hoe we de stijlen goed inrichten.	думать (инфинитив)	Нам ещё надо подумать, как правильно настроить стили.	werk::refinement::A2
dacht	Ik <b>dacht</b> eigenlijk dat de beschrijving miste in het ontwerp.	думал (1е л. ед.ч., прош. вр.)	Я вообще-то думал, что описание пропущено в дизайне.	werk::refinement::A2
maken	We <b>maken</b> het zo simpel en goed mogelijk.	делаем (1е л. мн.ч., наст. вр.)	Мы делаем это максимально просто и качественно.	werk::refinement::A2
maakt	Een goede collega <b>maakt</b> het gewoon makkelijk om samen te werken.	делает (3е л. ед.ч., наст. вр.)	Хороший коллега просто облегчает совместную работу.	werk::refinement::A2
maak	<b>Maak</b> een afspraak bij de huisarts als je pijn hebt.	сделай (повелит. наклон.)	Запишись к врачу, если у тебя боль.	werk::refinement::A2
gaat	De inhoud <b>gaat</b> omlaag als de banner verschijnt.	идёт (3е л. ед.ч., наст. вр.)	Содержимое сдвигается вниз, когда появляется баннер.	werk::refinement::A2
gaan	We <b>gaan</b> morgen naar de makelaar om de woning te bekijken.	идём, собираемся (1е л. мн.ч.)	Мы завтра идём к маклеру, чтобы посмотреть жильё.	werk::refinement::A2
ga	Ik <b>ga</b> volgende sprint aan deze onderdelen werken.	иду, собираюсь (1е л. ед.ч.)	Я собираюсь работать над этими компонентами в следующем спринте.	werk::refinement::A2
gewoon	Mijn buurman is <b>gewoon</b> een bescheiden ambtenaar bij de gemeente.	просто, обычный	Мой сосед — просто скромный чиновник в муниципалитете.	werk::refinement::A2
hele	We hebben een <b>hele</b> week nodig om alle bugs te fixen voor de release.	целый (прил., de-woord)	Нам нужна целая неделя, чтобы пофиксить все баги перед релизом.	werk::refinement::A2
heel	Dat vond ik een <b>heel</b> mooi punt over de structuur.	очень (наречие)	Я нашёл это очень хорошим замечанием о структуре.	werk::refinement::A2
zit	Die schakelaar <b>zit</b> in de instellingenpagina van de app.	сидит, находится (3е л. ед.ч.)	Этот переключатель находится на странице настроек приложения.	werk::refinement::A2
nodig	De fysiotherapeut zegt dat ik meer beweging <b>nodig</b> heb.	нужно, необходимо	Физиотерапевт говорит, что мне нужно больше движения.	werk::refinement::A2
eigenlijk	Het idee is <b>eigenlijk</b> om die uiteindelijk te verbeteren.	собственно, на самом деле	Идея, собственно, в том, чтобы в итоге это улучшить.	werk::refinement::A2
meer	Dan heb je iets <b>meer</b> tijd om erover na te denken.	больше (сравн. степ.)	Тогда у тебя будет чуть больше времени, чтобы об этом подумать.	werk::refinement::A2
veel	Er zijn best <b>veel</b> activiteiten in het weekend voor de avondgroep.	много	В выходные довольно много мероприятий для вечерней группы.	werk::refinement::A2
meest	De <b>meest</b> complexe onderdelen laten we even voor wat ze zijn.	самый (превосх. степ.)	Самые сложные компоненты мы пока оставим как есть.	werk::refinement::A2
even	Laten we dat <b>even</b> opschuiven naar de volgende sprint.	ненадолго, на минуточку	Давайте пока это отложим на следующий спринт.	werk::refinement::A2
één	We kopiëren hem uit <b>één</b> van de andere projecten als basis.	один (числит., с ударением)	Мы копируем его из одного из других проектов как основу.	werk::refinement::A2
eentje	Je wilt er een voor en een achter, of alleen <b>eentje</b>.	один, одну штуку (разг.)	Ты хочешь один спереди и один сзади, или только один.	werk::refinement::A2
doen	We <b>doen</b> wat we kunnen deze sessie met de collega's.	делаем (1е л. мн.ч., наст. вр.)	Мы делаем что можем на этой сессии с коллегами.	werk::refinement::A2
doet	Kijk hoe het invoerveld het <b>doet</b> in de praktijk.	делает (3е л. ед.ч., наст. вр.)	Посмотри, как поле ввода работает на практике.	werk::refinement::A2
gedaan	Ik heb gisteren een examen <b>gedaan</b> voor de cursus.	сделал (причастие прош. вр.)	Я вчера сдал экзамен на курсе.	werk::refinement::A2
projecten	Je breidt hem wel uit naar andere <b>projecten</b> waar nodig.	проекты (мн.ч.)	Ты его потом расширишь для других проектов по необходимости.	werk::refinement::A2
project	In ons <b>project</b> hebben we al zo'n kleine ronde knop.	проект (het project)	В нашем проекте у нас уже есть такая маленькая круглая кнопка.	werk::refinement::A2
kijken	We <b>kijken</b> naar de advertentie en bellen daarna de makelaar.	смотрим (1е л. мн.ч., наст. вр.)	Мы смотрим объявление и потом звоним маклеру.	werk::refinement::A2
kijkt	Als je realistisch naar deze hele lijst <b>kijkt</b>, is het te veel.	смотришь (2е л. ед.ч., наст. вр.)	Если реалистично посмотреть на весь список, это слишком много.	werk::refinement::A2
wordt	Dat onderdeel <b>wordt</b> toch nergens apart getoond nu?	отображается (3е л. ед.ч., пассив)	Этот компонент ведь сейчас нигде отдельно не показывается?	werk::refinement::A2
worden	Ze moeten wel aangepast <b>worden</b>, anders klopt het niet met het ontwerp.	быть (инф., пассив)	Их всё-таки нужно поправить, иначе не совпадёт с дизайном.	werk::refinement::A2
alleen	Het is <b>alleen</b> niet voorbereid — er was nou eenmaal te weinig tijd.	только, лишь	Это просто не подготовлено — времени было слишком мало.	werk::refinement::A2
zeggen	Je moet gewoon <b>zeggen</b>: we kopiëren hem uit één van de projecten.	сказать (инфинитив)	Просто скажи: мы копируем его из одного из проектов.	werk::refinement::A2
zegt	Marcus <b>zegt</b> dat er geen vaste betekenis achter de kleur zit.	говорит (3е л. ед.ч., наст. вр.)	Маркус говорит, что за цветом нет фиксированного значения.	werk::refinement::A2
staat	Er <b>staat</b> "icoon optioneel" in de beschrijving van het ontwerp.	стоит (3е л. ед.ч., наст. вр.)	В описании дизайна написано «иконка опциональна».	werk::refinement::A2
zo'n	Ik heb <b>zo'n</b> fout ook gehad vorige week, best vervelend.	такой (указат., разг.)	У меня тоже была такая ошибка на прошлой неделе, довольно раздражает.	werk::refinement::A2
implementatie	De <b>implementatie</b> van die API duurde echt langer dan we dachten.	реализация, имплементация	Реализация этого API реально заняла больше, чем мы думали.	werk::refinement::A2
implementaties	We kijken naar beide <b>implementaties</b> en kiezen de beste.	реализации (мн.ч.)	Мы смотрим на обе реализации и выбираем лучшую.	werk::refinement::A2
kleur	Je geeft gewoon een <b>kleur</b> mee aan het statuslabel.	цвет (de kleur)	Ты просто передаёшь цвет метке статуса.	werk::refinement::A2
werkt	Dat <b>werkt</b> wel goed voor de app op het deelplatform.	работает (3е л. ед.ч., наст. вр.)	Это неплохо работает для приложения на платформе.	werk::refinement::A2
werken	Alex gaat hier volgende sprint aan <b>werken</b> met het team.	работать (инфинитив)	Алекс собирается работать над этим в следующем спринте с командой.	werk::refinement::A2
procent	Ik heb zesenzeventig <b>procent</b> gehaald op mijn examen.	процент (het procent)	Я набрал семьдесят шесть процентов на экзамене.	werk::refinement::A2
bouwen	De politicus belooft meer woningen te <b>bouwen</b> in onze wijk.	строить (инфинитив)	Политик обещает построить больше жилья в нашем районе.	werk::refinement::A2
bouwt	De aannemer <b>bouwt</b> een praktische tussenwoning in onze buurt.	строишь, строит (2/3е л. ед.ч., наст. вр.)	Подрядчик строит практичный рядовой дом в нашем районе.	werk::refinement::A2
allemaal	We hebben het <b>allemaal</b> even druk nu, maar het komt wel goed.	все, всё вместе	Мы все сейчас загружены, но всё образуется.	werk::refinement::A2
mooi	De architect heeft een heel <b>mooi</b> ontwerp gemaakt voor de woning.	красивый, хороший	Архитектор сделал очень красивый проект для жилья.	werk::refinement::A2
mooie	Het was een <b>mooie</b> oefening om Nederlands te spreken met collega's.	красивая, хорошая (прил., de-woord)	Это была хорошая практика — говорить на нидерландском с коллегами.	werk::refinement::A2
volgens	<b>Volgens</b> mij hebben we er al een in het andere project.	по мнению, согласно	По-моему, у нас уже есть такой в другом проекте.	werk::refinement::A2
andere	De programmeur werkt flexibel en helpt ook <b>andere</b> afdelingen.	другие (прил., мн.ч.)	Программист работает гибко и помогает также другим отделам.	werk::refinement::A2
ander	Misschien is het beter om een <b>ander</b> framework te proberen.	другой (прил., ед.ч.)	Может, лучше попробовать другой фреймворк.	werk::refinement::A2
losse	Het zijn toch twee <b>losse</b> onderdelen die je apart kunt gebruiken.	отдельные, несвязанные (прил., мн.ч.)	Это ведь два отдельных компонента, которые можно использовать по отдельности.	werk::refinement::A2
los	Dit bestaat eigenlijk al als <b>los</b> pakket in het project.	отдельный, свободный (прил.)	Это, по сути, уже существует как отдельный пакет в проекте.	werk::refinement::A2
optioneel	Het icoontje is <b>optioneel</b> — je hoeft het niet overal te gebruiken.	опциональный, необязательный	Иконка необязательна — не нужно её везде ставить.	werk::refinement::A2
mogelijk	Het is <b>mogelijk</b> om dat in één sprint te doen, maar het wordt wel krap.	возможно, возможный	Можно это сделать за один спринт, но будет впритык.	werk::refinement::A2
basis	We nemen toch de bestaande code als <b>basis</b> voor het nieuwe onderdeel?	основа, база (de basis)	Мы ведь берём существующий код как основу для нового компонента?	werk::refinement::A2
ziet	Je <b>ziet</b> het resultaat in de bibliotheek na de sprint.	видишь (2е л. ед.ч., наст. вр.)	Ты увидишь результат в библиотеке после спринта.	werk::refinement::A2
zie	Ik <b>zie</b> alleen de types: primair, secundair en waarschuwing.	вижу (1е л. ед.ч., наст. вр.)	Я вижу только типы: основной, вторичный и предупреждение.	werk::refinement::A2
zag	Dat <b>zag</b> ik in het ontwerp — een tijdelijke tekst voor het invoerveld.	видел (1е л. ед.ч., прош. вр.)	Я видел это в дизайне — временный текст для поля ввода.	werk::refinement::A2
types	Er zijn twaalf verschillende <b>types</b> knop in het ontwerp.	типы (мн.ч.)	В дизайне двенадцать разных типов кнопок.	werk::refinement::A2
type	Rood betekent niet altijd fout — het hangt af van het <b>type</b>.	тип (het type)	Красный не всегда означает ошибку — это зависит от типа.	werk::refinement::A2
Nederlands	M'n <b>Nederlands</b> wordt wel steeds beter, vind ik zelf.	нидерландский (язык)	Мой нидерландский становится всё лучше, мне кажется.	werk::refinement::A2
Nederlandse	Ik heb echt een leuke <b>Nederlandse</b> cursus gevonden bij het Taalthuis.	нидерландский (прил., de-woord)	Я нашёл реально классный нидерландский курс в Taalthuis.	werk::refinement::A2
zonder	De arts raadt aan om niet <b>zonder</b> afspraak naar het ziekenhuis te komen.	без (предлог)	Врач советует не приходить в больницу без записи.	werk::refinement::A2
erbij	Zet er even een screenshot <b>erbij</b>, dan is het duidelijker.	к этому, при этом (наречие)	Добавь скриншот, тогда будет понятнее.	werk::refinement::A2
iets	Er moet op z'n minst <b>iets</b> zijn — een titel of een knop.	что-то, кое-что	Должно быть хотя бы что-то — заголовок или кнопка.	werk::refinement::A2
bedenken	Kun je een beter voorbeeld <b>bedenken</b> voor deze flow?	придумать, представить	Можешь придумать пример получше для этого флоу?	werk::refinement::A2
voorbereiden	Ik wilde het écht goed <b>voorbereiden</b> voor de vergadering.	подготовить (инфинитив)	Я хотел это действительно хорошо подготовить к совещанию.	werk::refinement::A2
voorbereid	Het is gewoon niet goed <b>voorbereid</b> — we hadden te weinig tijd.	подготовлен (причастие)	Это просто плохо подготовлено — времени было мало.	werk::refinement::A2
informatie	Is dit genoeg <b>informatie</b> om de taak te schatten?	информация (de informatie)	Достаточно ли информации, чтобы оценить задачу?	werk::refinement::A2
gesprek	We hadden een goed <b>gesprek</b> met de klant over de nieuwe features.	разговор (het gesprek)	У нас был хороший разговор с клиентом о новых фичах.	werk::refinement::A2
sessie	Die <b>sessie</b> duurde best lang, maar het was wel nuttig.	сессия, заседание (de sessie)	Та сессия затянулась, но зато была полезной.	werk::refinement::A2
