#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5
maakt niet uit	Wil je koffie of thee? — Maakt niet uit.	всё равно / не важно	Хочешь кофе или чай? — Всё равно.	link::thema2::taak2::uitdrukkingen
maakt niet uit	Ik heb geen kaas meer. — Maakt niet uit.	не страшно / не важно	У меня больше нет сыра. — Не страшно.	link::thema2::taak2::uitdrukkingen
tot zo!	Ik ga even naar de winkel. Tot zo!	до скорого!	Я схожу в магазин. До скорого!	link::thema2::taak2::uitdrukkingen
tot zo!	Tot zo! Ik ben over vijf minuten terug.	до скорого!	До скорого! Я вернусь через пять минут.	link::thema2::taak2::uitdrukkingen
nou ja	Nou ja, dan neem ik iets anders.	ну ладно / ну что ж	Ну ладно, тогда я возьму что-нибудь другое.	link::thema2::taak2::uitdrukkingen
nou ja	Nou ja, het is niet erg.	ну ладно / ну что ж	Ну что ж, ничего страшного.	link::thema2::taak2::uitdrukkingen
graag gedaan	Dank je wel voor je hulp! — Graag gedaan.	пожалуйста (в ответ на спасибо)	Спасибо за помощь! — Пожалуйста.	link::thema2::taak2::uitdrukkingen
graag gedaan	Bedankt! — Graag gedaan, hoor.	не за что	Спасибо! — Не за что.	link::thema2::taak2::uitdrukkingen
dat klopt	Is dit drie euro? — Ja, dat klopt.	верно / правильно	Это три евро? — Да, верно.	link::thema2::taak2::uitdrukkingen
dat klopt	Je woont in Amsterdam, toch? — Dat klopt.	верно / правильно	Ты живёшь в Амстердаме, да? — Верно.	link::thema2::taak2::uitdrukkingen
geen probleem	Sorry voor het wachten. — Geen probleem.	без проблем	Извините за ожидание. — Без проблем.	link::thema2::taak2::uitdrukkingen
geen probleem	Kan ik morgen betalen? — Geen probleem.	без проблем	Можно заплатить завтра? — Без проблем.	link::thema2::taak2::uitdrukkingen
