#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5
negatief	Probeer niet zo negatief te denken.	негативный, отрицательный	Постарайся не думать так негативно.	opmaat::thema8::pagina23::A2
net / netjes	Hij ziet er altijd netjes uit.	аккуратный, опрятный	Он всегда выглядит аккуратно.	opmaat::thema8::pagina23::A2
niemand	Er is niemand thuis.	никто	Дома никого нет.	opmaat::thema8::pagina23::A2
nieuwsgierig	Kinderen zijn heel nieuwsgierig.	любопытный	Дети очень любопытные.	opmaat::thema8::pagina23::A2
nonchalant	Hij loopt nonchalant door de straat.	небрежный, беспечный	Он небрежно идёт по улице.	opmaat::thema8::pagina23::A2
nuchter	Nederlanders staan bekend als nuchter.	трезвомыслящий, рассудительный	Голландцы известны как рассудительные.	opmaat::thema8::pagina23::A2
ondernemend	Ze is heel ondernemend en start een bedrijf.	предприимчивый	Она очень предприимчивая и открывает бизнес.	opmaat::thema8::pagina23::A2
ongeduldig	Wees niet zo ongeduldig, wacht even.	нетерпеливый	Не будь таким нетерпеливым, подожди.	opmaat::thema8::pagina23::A2
de ontmoeting	De ontmoeting was heel leuk.	встреча	Встреча была очень приятной.	opmaat::thema8::pagina23::A2
ontspannend	Yoga is heel ontspannend.	расслабляющий	Йога очень расслабляет.	opmaat::thema8::pagina23::A2
ontvangen	We ontvangen gasten dit weekend.	принимать (гостей), получать	Мы принимаем гостей в эти выходные.	opmaat::thema8::pagina23::A2
onvoorspelbaar	Het weer in Nederland is onvoorspelbaar.	непредсказуемый	Погода в Нидерландах непредсказуема.	opmaat::thema8::pagina23::A2
onzeker	Ze voelt zich onzeker over haar uiterlijk.	неуверенный	Она чувствует себя неуверенно из-за своей внешности.	opmaat::thema8::pagina23::A2
de oorlog	Na de oorlog was alles anders.	война	После войны всё было по-другому.	opmaat::thema8::pagina23::A2
de oorzaak	Wat is de oorzaak van het probleem?	причина	Какова причина проблемы?	opmaat::thema8::pagina23::A2
open	Ze is een heel open persoon.	открытый	Она очень открытый человек.	opmaat::thema8::pagina23::A2
opmaken (zich)	Ze maakt zich elke ochtend op.	краситься, наносить макияж	Она каждое утро красится.	opmaat::thema8::pagina23::A2
optimistisch	Ik ben optimistisch over de toekomst.	оптимистичный	Я оптимистично смотрю в будущее.	opmaat::thema8::pagina23::A2
de opvoeding	De opvoeding van kinderen is belangrijk.	воспитание	Воспитание детей — это важно.	opmaat::thema8::pagina23::A2
opzeggen	Ik wil mijn abonnement opzeggen.	расторгнуть, отменить	Я хочу расторгнуть подписку.	opmaat::thema8::pagina23::A2
organiseren	Zij organiseert een feest voor haar verjaardag.	организовывать	Она организует вечеринку на свой день рождения.	opmaat::thema8::pagina23::A2
ouderwets	Die kleding is een beetje ouderwets.	старомодный	Эта одежда немного старомодная.	opmaat::thema8::pagina23::A2
de overeenkomst	Er zijn veel overeenkomsten tussen de twee zussen.	сходство, соглашение	Между двумя сёстрами много общего.	opmaat::thema8::pagina23::A2
de paardenstaart	Ze draagt haar haar in een paardenstaart.	хвост (причёска)	Она носит волосы в хвосте.	opmaat::thema8::pagina23::A2
de partner	Mijn partner werkt in een ziekenhuis.	партнёр	Мой партнёр работает в больнице.	opmaat::thema8::pagina23::A2
pas	Ik ben pas in Nederland aangekomen.	только что, недавно	Я только что приехал в Нидерланды.	opmaat::thema8::pagina23::A2
passief	Hij is te passief in de les.	пассивный	Он слишком пассивный на уроке.	opmaat::thema8::pagina23::A2
pessimistisch	Wees niet zo pessimistisch!	пессимистичный	Не будь таким пессимистичным!	opmaat::thema8::pagina23::A2
plaatselijk	Er is plaatselijk regen verwacht.	местный, местами	Местами ожидается дождь.	opmaat::thema8::pagina23::A2
